Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
219;user1688;tweet2143;2019-10-04 02:43:00;FALSO;FALSO;FALSO;es;Que hacen cuando empiezan a odiar a toda la gente de su alrededor... ??;201910040;2;6
493;user1690;tweet2465;2019-10-04 04:25:00;FALSO;FALSO;FALSO;es;Es mi idea o el contador esta pegado en 498.943?#SuperM_Jopping;201910040;4;6
496;user1690;tweet2301;2019-10-04 03:27:00;FALSO;FALSO;FALSO;es;#LlegoTuHoraTVN  pucha me cae bien Karen, pero no se puede comparar a Gonzalo;201910040;3;6
560;user11304;tweet4785;2019-10-04 22:49:00;FALSO;FALSO;FALSO;es;Estoy teniendo los mayores feelings de la vida con Amelia y Link loco, son mis favs ??????????;201910040;22;6
562;user11304;tweet2011;2019-10-04 02:15:00;FALSO;FALSO;FALSO;es;Necesito que me confirmen que el papá del bebé de Amelia es Link por favoooooor;201910040;2;6
694;user11310;tweet4649;2019-10-04 21:53:00;FALSO;FALSO;FALSO;es;#Rysselberghe #Salaberry  yo tengo un apellido compuesto y es de ascendencia español y nigún wn/wna habla de mi ! . Señora #patipela piense antes de hablar #renuncieRysselberghe #Chile https://t.co/6FWqKB4Jjo;201910040;21;6
698;user11310;tweet4655;2019-10-04 21:55:00;FALSO;FALSO;FALSO;es;#Rysselberghe #Salaberry  alguien me invita una chela hoy?? Pd. Mi apellido es compuesto y no común ??;201910040;21;6
771;user1700;tweet3755;2019-10-04 16:14:00;FALSO;FALSO;FALSO;es;La gran Violeta hoy está de cumpleaños ...102 años. #violetaparra #cumpleañosvioletaparra https://t.co/9nq6qAltLZ;201910040;16;6
1249;user6649;tweet4648;2019-10-04 21:53:00;FALSO;FALSO;FALSO;es;"Ganando La Serena, lo más obvio es que Cobreloa le gane a los muertos de Valdivia y Puerto Montt haga lo mismo con los huasos de Santa Cruz.
żCuantos goles nos hace Magallanes?";201910040;21;6
1460;user11350;tweet3189;2019-10-04 13:26:00;FALSO;FALSO;FALSO;es;"Vine a tomar una prueba de matemáticas y solo pienso en ""no me pregunten plis se menos que ustedes, solo de Inglés y de pokemon ??""";201910040;13;6
1462;user11350;tweet4573;2019-10-04 21:25:00;FALSO;FALSO;FALSO;es;Fui a la lavandería con toda mi ropa y la señora me dice que tiene entrega para el MIERCOLES ctm. Me tuve que venir a comprar ropa interior como para 5 días por la chucha porque no soy más responsable conmigo mismo ??;201910040;21;6
1578;user11358;tweet4834;2019-10-04 22:59:00;FALSO;FALSO;FALSO;es;Esta semana entra al podio para pelear por la peor semana del año. Contratuleyshon;201910040;22;6
1581;user11358;tweet4816;2019-10-04 22:55:00;FALSO;FALSO;FALSO;es;Nunca tuve tantas ganas en mi vida de irme a un capo al menos 3 días;201910040;22;6
1585;user11358;tweet2351;2019-10-04 03:49:00;FALSO;FALSO;FALSO;es;Q día faltal;201910040;3;6
1706;user11375;tweet3661;2019-10-04 15:45:00;FALSO;FALSO;FALSO;es;Es necesario que se haga una esterilización canina urgente a perros callejeros en la región de Valparaíso, está quedando la cagá con perritos tirados por todas partes!?? @MunicipioValpo @MascotaGob @JorgeSharp @quilpueciudad @vinadelmar @MunicipioVina;201910040;15;6
