Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
234724;user3455;tweet244948;2019-11-03 02:57:00;FALSO;FALSO;FALSO;es;Otro logro de Piñera: Chile es top-3 con peor distribución de la riqueza entre países OCDE. https://t.co/IwoxyEnSOl;201911030;2;1
234726;user3455;tweet248567;2019-11-03 20:36:00;FALSO;FALSO;FALSO;es;"CERRADA DE ORTO!
- Facho promedio: la gente que protesta en las calles no pide cambio de Constitución.
- CADEM: Un 87% de los chilenos cree que se debe cambiar la Constitución. La mayoría también cree que el mecanismo es Asamblea Constituyente.
#NuevaConstitucion";201911030;20;1
234728;user3455;tweet244600;2019-11-03 01:51:00;FALSO;FALSO;FALSO;es;Al CM de @PublimetroChile mañana le paso a dejar un queque ?;201911030;1;1
234730;user3455;tweet243832;2019-11-03 00:02:00;FALSO;FALSO;FALSO;es;Hasta que se desbloquearon #NuevaConstitucion y #AsambleaConstituyente ???;201911030;0;1
234733;user3455;tweet248115;2019-11-03 18:54:00;FALSO;FALSO;FALSO;es;"CADEM:
- Solo un 13% apoya a Piñera
- Un 87% quiere #NuevaConstitucion
- La mayoría prefiere que se cambie por #AsambleaComstiruyente ??? https://t.co/NUq3pazU1E";201911030;18;1
234734;user3455;tweet246271;2019-11-03 13:08:00;FALSO;FALSO;FALSO;es;"#FueraIsabelPla: Redes Sociales piden la salida de la Ministra de la Mujer por ""silencio cómplice"".

https://t.co/tNiXlGqjD9";201911030;13;1
234735;user3455;tweet244579;2019-11-03 01:48:00;FALSO;FALSO;FALSO;es;"El carro patente J*040, usado por el Comando Jungla en el asesinato de #Catrillanca, hoy es usado en Santiago para reprimir a los manifestantes.
#PeligroPiñeraMata https://t.co/PSTvzEXwwu";201911030;1;1
234736;user3455;tweet248621;2019-11-03 20:46:00;FALSO;FALSO;FALSO;es;"Nuestro único norte debe ser derrocar la madre de todas las desigualdades:
La Constitución de la Dictadura.
Hasta que no lo consigamos, debemos salir a la calle nuevamente y seguir luchando por un Chile mejor.
#NuevaConstitucion
#EstoNoHaTerminado https://t.co/UTObI383m9";201911030;20;1
234739;user3455;tweet244447;2019-11-03 01:27:00;FALSO;FALSO;FALSO;es;"Hola fachistán!.
#NuevaConstitucion 
#PeligroPiñeraMata
#AsambleaConstituyente https://t.co/QTgItGSb6T";201911030;1;1
234742;user3455;tweet245091;2019-11-03 03:22:00;FALSO;FALSO;FALSO;es;Presidente de la Cruz Roja establece que los heridos son el doble de las cifras oficiales https://t.co/UXBSk09tMX;201911030;3;1
234744;user3455;tweet244292;2019-11-03 01:07:00;FALSO;FALSO;FALSO;es;"Al menos 5 asesinados
+ de 20 muertos
+1000 heridos
+3000 detenidos
Muchos torturados, violados, mutilados.
#PeligroPiñeraMata https://t.co/YMK3Woeieo";201911030;1;1
234745;user3455;tweet244424;2019-11-03 01:22:00;FALSO;FALSO;FALSO;es;"Lo quiero en un tatuaje ?
#PeligroPiñeraMata https://t.co/MjxnO4vyEJ";201911030;1;1
234827;user3458;tweet248708;2019-11-03 21:01:00;FALSO;FALSO;FALSO;es;@Wolf48509619 @joseantoniokast Saquen de las marchas a los comunistas, despues se apropian de sus logros.;201911030;21;1
234835;user3459;tweet249445;2019-11-03 23:29:00;FALSO;FALSO;FALSO;es;#RenunciaCubillos por favor;201911030;23;1
234853;user7402;tweet243874;2019-11-03 00:08:00;FALSO;FALSO;FALSO;es;Tiñeron de rojo la pileta de Plaza de Armas de #LaSerena, en memoria de las personas muertas en durante las jornadas de protestas en Chile. https://t.co/ACP9XokLFN;201911030;0;1
234881;user3462;tweet248892;2019-11-03 21:38:00;FALSO;FALSO;FALSO;es;Denunciar a este señor!!???? https://t.co/QpZJ7rzfBN;201911030;21;1
234968;user121;tweet245635;2019-11-03 05:54:00;FALSO;FALSO;FALSO;es;Me tienen chato los comerciales wn #CombateSPACE;201911030;5;1
234970;user121;tweet245494;2019-11-03 04:57:00;FALSO;FALSO;FALSO;es;De pie para cantar el himno de la Madre Rusia #CombateSPACE;201911030;4;1
234971;user121;tweet244412;2019-11-03 01:20:00;FALSO;FALSO;FALSO;es;Mario Kart Tour culiao, es increíble que CADA PUTA VEZ QUE UNO LANZA UN CAPARAZÓN ROJO, el conchesumadre de adelante va protegido, creo que nunca le acertado con uno a alguien xD;201911030;1;1
234974;user121;tweet245374;2019-11-03 04:27:00;FALSO;FALSO;FALSO;es;Manden nudes mientras esperamos la pelea #CombateSPACE;201911030;4;1
234976;user121;tweet245657;2019-11-03 06:03:00;FALSO;FALSO;FALSO;es;Noooooo manso KO loco, tremendo el Canelo #CombateSPACE;201911030;6;1
234977;user121;tweet245649;2019-11-03 06:00:00;FALSO;FALSO;FALSO;es;Canelo mató al ruso #CombateSPACE;201911030;6;1
234989;user121;tweet245153;2019-11-03 03:34:00;FALSO;FALSO;FALSO;es;Weon mira esa wea #CombateSPACE;201911030;3;1
235009;user3466;tweet244781;2019-11-03 02:23:00;FALSO;FALSO;FALSO;es;. @ifloresdiputado @gabrielboric @GiorgioJackson @PamJiles Rebaja de 50% Sueldo de Parlamentarios - ĦFirma la petición! https://t.co/WiyK8J0mHl vía @ChangeorgLatino;201911030;2;1
235020;user3467;tweet244199;2019-11-03 00:52:00;FALSO;FALSO;FALSO;es;Conocen esto? Ganger un secreto de Glasgow https://t.co/1ZsClkUvNR;201911030;0;1
235050;user3468;tweet245578;2019-11-03 05:28:00;FALSO;FALSO;FALSO;es;RENUNCIARON SHARP Y BORIC?;201911030;5;1
235084;user122;tweet247749;2019-11-03 17:34:00;FALSO;FALSO;FALSO;es;"Min. de Hacienda: ""Creo que es importante que nos pongamos ejemplo de países a los cuales nos gustaría parecernos. A mí un país que siempre me ha gustado es Nueva Zelanda, que es un país parecido a nosotros. Ese es un modelo"".
Me está cayendo bien este Ministro ! #Chile";201911030;17;1
235086;user122;tweet247233;2019-11-03 15:48:00;FALSO;FALSO;FALSO;es;@Mauro_Tw2 Lamento estar en desacuerdo esta vez, yo tengo amigos comunistas que son inteligentes y buenas personas. Puedo no estar de acuerdo con ellos, pero son buena gente. #NoMasViolencia #EstadoDeDerecho;201911030;15;1
235090;user3473;tweet244557;2019-11-03 01:45:00;FALSO;FALSO;FALSO;es;Mi tío #panchopillo y @PANCHOSAAVEDRA tremenda  dupla #LugaresQueHablan @T13 ???? https://t.co/ol9Fi6KFfL;201911030;1;1
235113;user3473;tweet244634;2019-11-03 01:57:00;FALSO;FALSO;FALSO;es;Las #bolasdeindio de la #mariacartes y sus #guaique son espectaculares ?????? @PANCHOSAAVEDRA #LugaresQueHablan @T13 https://t.co/ExtYqAW5jr;201911030;1;1
235120;user3473;tweet244928;2019-11-03 02:53:00;FALSO;FALSO;FALSO;es;"???????????????
#cochamo ? en Cochamó, Chile https://t.co/XUztIhfyx9";201911030;2;1
235187;user3480;tweet244188;2019-11-03 00:51:00;FALSO;FALSO;FALSO;es;Hola! ?;201911030;0;1
235292;user3490;tweet244370;2019-11-03 01:14:00;FALSO;FALSO;FALSO;es;Oyeeeee que sonó en Macul?? Fue un bombazo???? Me despertaron a mi pequeño ?? @BombaMacul saben algo??;201911030;1;1
235347;user3500;tweet245427;2019-11-03 04:37:00;FALSO;FALSO;FALSO;es;Nadie me puede sacar de la cabeza que estos dos tienen algo (?) https://t.co/ubza0MDzCE;201911030;4;1
235350;user3500;tweet245327;2019-11-03 04:15:00;FALSO;FALSO;FALSO;es;"Acostumbrarme a no consumir lácteos será difícil. O al menos, cosas ""sin lactosa"". Crap crap";201911030;4;1
235352;user3500;tweet247201;2019-11-03 15:43:00;FALSO;FALSO;FALSO;es;Se me apreta la guata cada vez que entro a twitter. Terminaremos todos con nervios de acero? Lo dudo xD;201911030;15;1
